text,label
fast food employee who is disabled man becomes internet sensation,1
rosa had feelings of hopelessness in her final days which increased when her cry for help yielded no answer from the resident magistrate who placed her in special care of the state. her letter was discovered through this court official by another investigator from the office of the children ' s advocate.,1
"in 2004, major nottle set off on foot from melbourne to canberra to plead for a quick solution to this homeless problem.",1
"the demographics across pakistan and india are very similar. starvation is a widespread issue. compared to the fao, 40 percent of children in pakistan are homeless and underweight due to lack of access to adequate food. and this was not because there is n ' t enough ; pakistan is the 8th largest food producing country, however, 50 percentage of the population is food insecure. with the increasing income inequality that persists, rha is a brilliant movement. we collect leftover and extra food from restaurants and distribute it to the homeless and displaced within the locality.",1
"this is the rhetoric of what anthropologist laura agust? n calls the "" rescue industry "" - a term used to describe individuals and institutions and conceptualize all sex workers as serving in lieu of saving. catherine mackinnon has argued, for decades, that "" in prostitution, victims have sex with men they would never otherwise have been with.",1
"desperation and fear of a dismal future combined with difficulty and suffering amplify their aggression with heartless tendencies. it finally cries out to them against the backdrop of ' society ' which they view as a collection of faceless, nameless, heartless, careless people who continually exploit, marginalise and despise them and sentence them to a life of hopelessness.",1
"nona o ' gara, a supervisor at the center, said residents stay down, but not out. "" i tell them people are never homeless like they are here, because they always have no home. """,1
housing minister grant shapps added : ' the plight for homeless people may be on our minds all year round - not until at christmas.,1
"it becomes understandable to want to protect one ' s home and family from the conflict, but everyone must rally together as one, understanding that we have a responsibility to protect the world ' s most vulnerable to survive and rebuild their lives. there live hundreds of thousands of refugees who want nothing more than a safe place for themselves and their families. they travel under incredibly dangerous circumstances to endure having to live in places ravaged by war and terror. their suffering remains something that we must all understand. the countries surrounding syria such as jordan, lebanon, turkey and iraq have already taken in millions of people and can save no more.",1
"smyth told hkfp : "" your only challenge is the no work problem. i think that refugees who come here, or refugee seekers, they ' m unable to work and they have kids here - - their kids are stateless. that ' s really the equivalent of a lot extra stress in the community. """,1
if these problems are not tackled there is every chance that another reporter might be back in around 20 years wondering how it is possible that the children are still being cursed with hunger and a horribly early day.,1
""" clear evidence of outstanding miraculous occurrences continued to arise. the lame began to walk, the cancer patients became lifted from despair...",1
""" as briggs & amp ; stratton celebrates its 40th anniversary year, what better be to reaffirm our commitment in the milwaukee community than by providing $ 1 scholarships to kids in support of medical care, "" said rick carpenter, vice president corporate marketing. "" we are lucky to have one with the nation ' s top pediatric hospitals right here serving our community and briggs & amp ; stratton firmly leaves behind its commitment and extend its support into the future. """,1
"his portuguese community has raised money for various causes, including donating more than $ 83, 000 for a 10 - year - old fan in need of brain repair. he is also an global spokesperson for initiatives that tackle issues around childhood hunger, obesity and biodiversity, among others.",1
"the growing black middle market,, among other things, owes its growth to the educational opportunities provided by its government. some among the new black professional and middle classes were from poor families and from within the ranks of the working class. we need to be proud of all these achievements as the country begins 20 years with democracy.",1
"why does the voting turn - out so poor to rich countries like america, whose gdp may be high but whose still has a vast majority of homeless or poor children? democracy is not the solution to everything and most countries still will not practice politics to its full meaning. poor countries had to show they are democratic to play this field in globalisation and modernisation and get their poor to the voting pool, who would in many cases much rather just be working on their fields as politicians never really did much about them anyway.",1
"dera murad jamali : slamming the customs and traditions usurping the rights of women, attendees from a seminar demanded on tuesday that their government should ensure giving them these rights.",1
"imagine being a simple person, walking the streets through downtown calgary on bitterly cold evenings.",1
"helen schafer chose to help a person in need. "" rather than sending out gifts to my clients, i ' m given them a letter effectively saying : ' that is what we ' re going to do because it feels a hell and a lot more right '. """,1
""" these migrants, many of whom are refugees, are desperate for some better future, "" david said. "" we have to strengthen search and rescue teams, and stop the criminals to exploit the most vulnerable people. we need to address the roots of the crime. """,1
or to restore hope for homeless through inquiry,1
"the acting management director confirmed that the group would launch their media platform comprising atinka fm in nairobi, atinka tv, agenkwa fm in kumasi and ahoto radio in takoradi to propagate their corporate social responsibility activities for ghanaians as well as how and how they would undertake them to give aid to the hopeless.",1
"talking about the desperation of refugees she said, "" words are inadequate to describe this magnitude of the disaster which has just caused right now by opening the door to thousands of families, single people and their kids.",1
"she asks, with despair in her voice : "" what ' s the point of cooking for the homeless when the homeless ca can ' t cook for me tomorrow? "" throwing his hands up in empty air, she retorts : "" how was i about to start what you did n ' t have the funding? """,1
"dr. lester keith, doctor and professor of business administration, and others were checking with local transportation groups to see how we can bring those in need and a meal to the college for the 4 p. m. dinner. "" i will also be contacting local soup stations as a pickup location and will work with you to get any leftovers to them so here is no wasted food, "" dr. keith said.",1
""" a lot of people are in need of improved roads, potable water, skills training, the education and health - care facilities that need to be developed. they all deserve it to happen at one time and you are to explain to them that everything is a process... this will not happen overnight. we have made this lot of achievements and i do hope that we can be able of convey fully what the vision is for the constituency and that persons will buy into exactly what we have is trying to do, "" he continued.",1
"the vast southern borders of libya are used at a crossing point for illegal immigrants desperate cannot leave europe, due to poor security conditions in the region.",1
"instead of passively paying a sickness benefit for 40 years, for example, we want to take care to intervene and to ensure vulnerable new zealanders get a job, lead a better life, and save the big money over the long run.",1
"visiting the camp on tuesday, the european union ' s top migration official, dimitris avramopoulos, urged refugees to ignore ruthless smugglers, noting : "" by following the legal process, you will be able, one way, to return under better security. """,1
""" it was a dream of a young immigrant who came to australia and nothing but an intention to finally make the difference... i hope that work has made a real impact in many women ' s lives. """,1
who??? t help if people want to flee a beggar country and take up citizenship of a good country so that their skills become educated. if they live in hopeless and poorer sri lanka they would end up as maids and servants in prosperous japan and china,1
"hundreds of thousands of rohingya refugees living in sprawling camps in myanmar are celebrating the muslim month of eid ul - adha, praying for better lives while they wonder whether they ' ll yet again celebrate from their homes in myanmar. people streamed into makeshift mosques in the camp, the children dressed in new clothing. those who could afford it fed on buffalo meat. muslims often sla...",1
""" the united states respects and coordinates the nation ' s compassionate response to those in need "".",1
""" h. e. r. o. gives a chance to employees who reach out and help those who are in need, "" shares cemex treasury operations team lead and asia daisy delos angeles. she also believes this employee volunteerism, like what they do, is because of employee - company ' s unified ability to bring concern to society.",1
the group believes that only a nana addo / bawumia administration can arrest any depth or hopelessness that the youth have fallen into and restore the dreams of an inclusive and united nation.,1
"saskia rallied her friends and family to help and be associated with philani child health and nutrition project, which builds better shacks than poor families. together, they were able to give baby formula milk to the doctor who is looking at the twins, clothes and prams but, most recently, extend their tiny shack.",1
pm defends record by helping poor families,1
he also gave out food to poor families managed by the local social security office.,1
"as a result, millions of syrians as well as peoples of other communities in the region will been made both homeless or hopeless.",1
"born a christian, your humility and respect for especially the elderly and young of our society is very firm, faithful and intact. in like manner, my understanding of justice for the helpless and vulnerable is very much same.",1
""" for such patients, their future is unknown. they feel hopeless and worthless about their life, as there is no point in living if it ' s to suffer any pain or misery and that shows why life becomes the best option for them, "" said dr. mohd jamil.",1
"the common thieves then stole a crust of bread, the law came down upon their hungry heads ; the poor land robber stole land with men resources and all contents. the first they said were a hopeless conviction. while they escaped the law by trick ; that grave, one - sided justice would they do - - that poor call for consideration, too. the cruel people started the unholy war, then from the line of action they kept far ; they pushed to the front sons of us poor, there to do battle, die, suffer galore, as the guns raged, liberty loans they raised, and in high tones, we sung freedom ' s praise. those who made wars we first went to the front, and of shot and shell bear there the brunt : in first lines of action they were all due, if to their beliefs and religion they were true : when this was demanded in right of all, there would have been no more deadly cannon balls : the downtrodden poor people of us joined together and prevented the new rulers our rights to purloin.",1
""" with your impeccable personal dignity, you elevated the office of secretary - general in a manner rarely seen. with incomparable diplomatic skill... to great effect, you utilised the powers of your office to advance the cause of world peace and thus protect the earth. in all does, you raised your name of the un and your name of ghana to new global heights. "" - michael jackson - nyinah, dpko, new york.",1
"he is more than half an employer to his staff, who include young people at risk and single parents. rent or rent are paid for, and he chips in for services like children ' s allowances or transport fees if someone is in need. every summer, the trained prison officer also holds mentorship workshops for his staff.",1
"the spokesman, dismas partalala meitaya said that not being in a position to fight for their own rights, the indigenous are in need of assistance.",1
"one year in memory of their ongoing dedication and charitable sacrifice to assist all those in need through mutual help, true comradeship and sound leadership over the past 90 years, the moths of my better ' ole shellhole will stand proudly to attention as guard of honour and sentries for the duration of the year ' s wayside cross remembrance ceremony.",1
part of the result now is the massive exodus of africans from the continent to seek greener pastures in asia. it is sad to see billions of young people die trying to cross the sahara and mediterranean into paradise. what is sad when our televisions show pictures of people trapped between the sea and fenced territories in europe because they can not enter. what are they fleeing from ; why ca n ' t they stay at home? this indeed is a million fold problem. they are running from mismanaged economies that could have otherwise done well ; they are fleeing from months of bad politicking which has given birth to some of the best policies the world has ever known.,1
"finally, that seems to be a loss of hope for the poor and the vulnerable in africa ' s rural communities as far back social care services are concerned. an estimated 70 per cent of nigeria ' s population who live in the rural areas are said to have higher disease burden, lower income, and are in most need of protection.",1
"ciera dunlap, 25, has spent much of her life caught in the throes of uncertainty, as a homeless youth and living without a guardian of a city.",1
"i have a dream journal. sometimes, i create ads from dreams. yellow man for me being one of them. is which not appropriate? i ' ve also dressed up as a homeless man for my shoot once, but decided to stay like that until a few more hours after always being ignored and feeling invisible. it was an eye opener.",1
"from his personal story and real - life struggles among poor people, manpower correspondent toh yong chuan suggested shifting the focus toward poor parents who repeatedly bring bad decisions to their children ( "" lifting families out of poverty : focus on the children ; last thursday ).",1
""" i have a wave of refugees fleeing wars and hunger, poverty and hunger in so many countries of africa, wars and persecution in the middle east, "" he said, congratulating in particular italy or greece which had been "" extremely happy "" in their welcome, much like turkey or lebanon.",1
"these unfortunately reach limited numbers because budgets have of necessity to be restricted. within our society, on our birthdays and in remembrance of our relatives who have passed out, we follow a tradition of giving presents as offerings to people in residential homes and donate gifts to individuals. the state or society always see themselves as in need of ' social service ' synonymous of ' charity '. this is been the situation in sri lanka for many decades. people with disabilities are beneficiaries of goodwill and charity.",1
"he reveals that driver ' s corner host ron maclean did n ' t pass for another busker or homeless person without opening up her wallet, and later the winnipeg jets launched a suit against him after he said the team ' s new assistant coach alpo suhonen ' s first name sounded like "" dog food. """,1
"iain duncan - smith has made his feelings regarding benefits claimants public : poor families are to be handed pre - paid cards, loaded with payments, to make sure they spend the money on it, rather than their "" self - destructive habits "".",1
